3 3 0 ..OOO.......AAB.ZPC.B.ZPCDD..P...... P98 Z99 D97
3 3 0 ..OOO.......AAB..PC.B.ZPCDD.ZP...... P98 Z98 D97
3 3 0 ..OOO.......AAB..PC.B..PCDD.ZP....Z. P98 Z97 D97
3 3 0 ...OOO....Z.AAB.Z.C.B..PCDD..P.....P O99 P97 D97
3 3 0 ..OOO.......AAB.Z.C.B.ZPCDD..P.....P P97 Z99 D97
3 3 0 ..OOO.......AAB...C.B.ZPCDD.ZP.....P P97 Z98 D97
3 3 0 ..OOO.......AAB...C.B..PCDD.ZP....ZP P97 Z97 D97
3 3 0 .OOOZ.....ZPAAB..PC.B..PC...DD...... O99 P99 Z99
3 3 0 .OOO.......PAAB.ZPC.B.ZPC...DD...... O99 P99 Z99
3 3 0 OOO.Z.....ZPAAB..PC.B..PC...DD...... O98 P99 Z99
3 3 0 OOO........PAAB.ZPC.B.ZPC...DD...... O98 P99 Z99
3 3 0 ..BOOO..B.ZPAA..ZPC....PC...DD...... O99 P99 B98
3 3 0 ...OOO.....PAAB.ZPC.B.ZPC...DD...... O99 P99 Z99
4 4 0 .OOO.P..B.ZPAAB.ZP......C..DD.C..... O99 B99 C99 D99
4 4 0 OOO..P..B.ZPAAB.ZP......C..DD.C..... O98 B99 C99 D99
4 4 0 ..OOO...B.ZPAAB.ZP.....PC..DD.C..... P99 B99 C99 D99
4 4 0 ..OOO...B.Z.AAB.ZP.....PC..DDPC..... P98 B99 C99 D99
4 4 0 ..OOO...B.Z.AAB.Z......PC..DDPC....P P97 B99 C99 D99
4 4 0 ..OOOP..B..PAAB.ZP....Z.C..DD.C..... Z99 B99 C99 D99
4 4 0 .OOO.P..B.ZPAAB.ZP......C.DD..C..... O99 B99 C99 D98
4 4 0 OOO..P..B.ZPAAB.ZP......C.DD..C..... O98 B99 C99 D98
4 4 0 ..OOO...B.ZPAAB.ZP.....PC.DD..C..... P99 B99 C99 D98
4 4 0 ..OOO...B.Z.AAB.ZP.....PC.DD.PC..... P98 B99 C99 D98
4 4 0 ..OOO...B.Z.AAB.Z......PC.DD.PC....P P97 B99 C99 D98
4 4 0 ..OOOP..B..PAAB.ZP....Z.C.DD..C..... Z99 B99 C99 D98
4 4 0 ..OOOP..B..PAAB..P....Z.C.DDZ.C..... Z98 B99 C99 D98
4 4 0 ..OOOP..B..PAAB..P......C.DDZ.C...Z. Z97 B99 C99 D98
4 4 0 .OOO.P..B.ZPAAB.ZP......CDD...C..... O99 B99 C99 D97
4 4 0 OOO..P..B.ZPAAB.ZP......CDD...C..... O98 B99 C99 D97
4 4 0 ..OOO...B.ZPAAB.ZP.....PCDD...C..... P99 B99 C99 D97
4 4 0 ..OOO...B.Z.AAB.ZP.....PCDD..PC..... P98 B99 C99 D97
4 4 0 ..OOO...B.Z.AAB.Z......PCDD..PC....P P97 B99 C99 D97
4 4 0 ..OOOP..B..PAAB.ZP....Z.CDD...C..... Z99 B99 C99 D97
4 4 0 ..OOOP..B..PAAB..P....Z.CDD.Z.C..... Z98 B99 C99 D97
4 4 0 ..OOOP..B..PAAB..P......CDD.Z.C...Z. Z97 B99 C99 D97
4 4 0 .OOO....B.ZPAAB.ZP.....PC...DDC..... O99 P99 B99 C99
4 4 0 .OOOZP..B.ZPAAB..P......C...DDC..... O99 Z99 B99 C99
4 4 0 .OOO.P..B..PAAB.ZP....Z.C...DDC..... O99 Z99 B99 C99
4 4 0 OOO.....B.ZPAAB.ZP.....PC...DDC..... O98 P99 B99 C99
4 4 0 OOO.ZP..B.ZPAAB..P......C...DDC..... O98 Z99 B99 C99
4 4 0 OOO..P..B..PAAB.ZP....Z.C...DDC..... O98 Z99 B99 C99
4 4 0 ...OOO..B.ZPAAB.ZP.....PC...DDC..... O99 P99 B99 C99
4 4 0 ..OOO...B..PAAB.ZP....ZPC...DDC..... P99 Z99 B99 C99
